,ad,dataset,c_type,n_cell,cell_times,seq_depth,method,metric,evaluation
0,path,human_pancreas_norm_complexBatch,activated_stellate,0,0,5000,scanorama,pcr,0.5350689658406406
1,path,human_pancreas_norm_complexBatch,activated_stellate,0,0,5000,scanorama,nmi,0.0
2,path,human_pancreas_norm_complexBatch,activated_stellate,0,0,5000,scanorama,ari,0.0
3,path,human_pancreas_norm_complexBatch,beta,0,0,1000,scanorama,pcr,0.1868996007576522
4,path,human_pancreas_norm_complexBatch,beta,0,0,1000,scanorama,nmi,0.0
5,path,human_pancreas_norm_complexBatch,beta,0,0,1000,scanorama,ari,0.0
6,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scanorama,pcr,0.40449921354617635
7,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scanorama,nmi,0.0
8,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scanorama,ari,0.0
9,path,human_pancreas_norm_complexBatch,alpha,0,0,10000,scanorama,pcr,0.46903503570662225
10,path,human_pancreas_norm_complexBatch,alpha,0,0,10000,scanorama,nmi,0.0
11,path,human_pancreas_norm_complexBatch,alpha,0,0,10000,scanorama,ari,0.0
12,path,human_pancreas_norm_complexBatch,delta,0,0,10000,scanorama,pcr,0.17714802290423481
13,path,human_pancreas_norm_complexBatch,delta,0,0,10000,scanorama,nmi,0.0
14,path,human_pancreas_norm_complexBatch,delta,0,0,10000,scanorama,ari,0.0
15,path,human_pancreas_norm_complexBatch,ductal,0,0,1000,scanorama,pcr,0.5237772345344213
16,path,human_pancreas_norm_complexBatch,ductal,0,0,1000,scanorama,nmi,0.0
17,path,human_pancreas_norm_complexBatch,ductal,0,0,1000,scanorama,ari,0.0
