,ad,dataset,c_type,n_cell,cell_times,seq_depth,method,metric,evaluation,fig_path,hyper_para
0,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scgen,pcr,0.5752212735635368,immunealpha_2_0_1000_5,5
1,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scgen,nmi,0.0,immunealpha_2_0_1000_5,5
2,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scgen,ari,0.0,immunealpha_2_0_1000_5,5
3,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scgen,pcr,0.0,immunealpha_2_0_1000_50,50
4,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scgen,nmi,0.0,immunealpha_2_0_1000_50,50
5,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scgen,ari,0.0,immunealpha_2_0_1000_50,50
6,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scgen,pcr,0.9722805603492347,immunealpha_2_0_1000_100,100
7,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scgen,nmi,0.0,immunealpha_2_0_1000_100,100
8,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scgen,ari,0.0,immunealpha_2_0_1000_100,100
9,path,human_pancreas_norm_complexBatch,delta,2,0,5000,scgen,pcr,0.0,immunedelta_2_0_5000_5,5
10,path,human_pancreas_norm_complexBatch,delta,2,0,5000,scgen,nmi,0.0,immunedelta_2_0_5000_5,5
11,path,human_pancreas_norm_complexBatch,delta,2,0,5000,scgen,ari,0.0,immunedelta_2_0_5000_5,5
12,path,human_pancreas_norm_complexBatch,delta,2,0,5000,scgen,pcr,0.0,immunedelta_2_0_5000_50,50
13,path,human_pancreas_norm_complexBatch,delta,2,0,5000,scgen,nmi,0.0,immunedelta_2_0_5000_50,50
14,path,human_pancreas_norm_complexBatch,delta,2,0,5000,scgen,ari,0.0,immunedelta_2_0_5000_50,50
15,path,human_pancreas_norm_complexBatch,delta,2,0,5000,scgen,pcr,0.6628732802486065,immunedelta_2_0_5000_100,100
16,path,human_pancreas_norm_complexBatch,delta,2,0,5000,scgen,nmi,0.0,immunedelta_2_0_5000_100,100
17,path,human_pancreas_norm_complexBatch,delta,2,0,5000,scgen,ari,0.0,immunedelta_2_0_5000_100,100
18,path,human_pancreas_norm_complexBatch,activated_stellate,5,0,10000,scgen,pcr,0.0,immuneactivated_stellate_5_0_10000_5,5
19,path,human_pancreas_norm_complexBatch,activated_stellate,5,0,10000,scgen,nmi,0.0,immuneactivated_stellate_5_0_10000_5,5
20,path,human_pancreas_norm_complexBatch,activated_stellate,5,0,10000,scgen,ari,0.0,immuneactivated_stellate_5_0_10000_5,5
21,path,human_pancreas_norm_complexBatch,activated_stellate,5,0,10000,scgen,pcr,0.9253734817478456,immuneactivated_stellate_5_0_10000_50,50
22,path,human_pancreas_norm_complexBatch,activated_stellate,5,0,10000,scgen,nmi,0.0,immuneactivated_stellate_5_0_10000_50,50
23,path,human_pancreas_norm_complexBatch,activated_stellate,5,0,10000,scgen,ari,0.0,immuneactivated_stellate_5_0_10000_50,50
24,path,human_pancreas_norm_complexBatch,activated_stellate,5,0,10000,scgen,pcr,0.4900259183062612,immuneactivated_stellate_5_0_10000_100,100
25,path,human_pancreas_norm_complexBatch,activated_stellate,5,0,10000,scgen,nmi,0.0,immuneactivated_stellate_5_0_10000_100,100
26,path,human_pancreas_norm_complexBatch,activated_stellate,5,0,10000,scgen,ari,0.0,immuneactivated_stellate_5_0_10000_100,100
27,path,human_pancreas_norm_complexBatch,activated_stellate,0,0,5000,scgen,pcr,0.0,immuneactivated_stellate_0_0_5000_5,5
28,path,human_pancreas_norm_complexBatch,activated_stellate,0,0,5000,scgen,nmi,0.0,immuneactivated_stellate_0_0_5000_5,5
29,path,human_pancreas_norm_complexBatch,activated_stellate,0,0,5000,scgen,ari,0.0,immuneactivated_stellate_0_0_5000_5,5
30,path,human_pancreas_norm_complexBatch,activated_stellate,0,0,5000,scgen,pcr,0.0,immuneactivated_stellate_0_0_5000_50,50
31,path,human_pancreas_norm_complexBatch,activated_stellate,0,0,5000,scgen,nmi,0.0,immuneactivated_stellate_0_0_5000_50,50
32,path,human_pancreas_norm_complexBatch,activated_stellate,0,0,5000,scgen,ari,0.0,immuneactivated_stellate_0_0_5000_50,50
33,path,human_pancreas_norm_complexBatch,activated_stellate,0,0,5000,scgen,pcr,0.9544889379145585,immuneactivated_stellate_0_0_5000_100,100
34,path,human_pancreas_norm_complexBatch,activated_stellate,0,0,5000,scgen,nmi,0.0,immuneactivated_stellate_0_0_5000_100,100
35,path,human_pancreas_norm_complexBatch,activated_stellate,0,0,5000,scgen,ari,0.0,immuneactivated_stellate_0_0_5000_100,100
36,path,human_pancreas_norm_complexBatch,acinar,2,0,1000,scgen,pcr,0.16347001819823723,immuneacinar_2_0_1000_5,5
37,path,human_pancreas_norm_complexBatch,acinar,2,0,1000,scgen,nmi,0.0,immuneacinar_2_0_1000_5,5
38,path,human_pancreas_norm_complexBatch,acinar,2,0,1000,scgen,ari,0.0,immuneacinar_2_0_1000_5,5
39,path,human_pancreas_norm_complexBatch,acinar,2,0,1000,scgen,pcr,0.7200879520756899,immuneacinar_2_0_1000_50,50
40,path,human_pancreas_norm_complexBatch,acinar,2,0,1000,scgen,nmi,0.0,immuneacinar_2_0_1000_50,50
41,path,human_pancreas_norm_complexBatch,acinar,2,0,1000,scgen,ari,0.0,immuneacinar_2_0_1000_50,50
42,path,human_pancreas_norm_complexBatch,acinar,2,0,1000,scgen,pcr,0.8810762269987773,immuneacinar_2_0_1000_100,100
43,path,human_pancreas_norm_complexBatch,acinar,2,0,1000,scgen,nmi,0.0,immuneacinar_2_0_1000_100,100
44,path,human_pancreas_norm_complexBatch,acinar,2,0,1000,scgen,ari,0.0,immuneacinar_2_0_1000_100,100
45,path,human_pancreas_norm_complexBatch,beta,0,0,5000,scgen,pcr,0.0,immunebeta_0_0_5000_5,5
46,path,human_pancreas_norm_complexBatch,beta,0,0,5000,scgen,nmi,0.0,immunebeta_0_0_5000_5,5
47,path,human_pancreas_norm_complexBatch,beta,0,0,5000,scgen,ari,0.0,immunebeta_0_0_5000_5,5
48,path,human_pancreas_norm_complexBatch,beta,0,0,5000,scgen,pcr,0.1451861454210731,immunebeta_0_0_5000_50,50
49,path,human_pancreas_norm_complexBatch,beta,0,0,5000,scgen,nmi,0.0,immunebeta_0_0_5000_50,50
50,path,human_pancreas_norm_complexBatch,beta,0,0,5000,scgen,ari,0.0,immunebeta_0_0_5000_50,50
51,path,human_pancreas_norm_complexBatch,beta,0,0,5000,scgen,pcr,0.0,immunebeta_0_0_5000_100,100
52,path,human_pancreas_norm_complexBatch,beta,0,0,5000,scgen,nmi,0.0,immunebeta_0_0_5000_100,100
53,path,human_pancreas_norm_complexBatch,beta,0,0,5000,scgen,ari,0.0,immunebeta_0_0_5000_100,100
54,path,human_pancreas_norm_complexBatch,activated_stellate,2,0,5000,scgen,pcr,0.0,immuneactivated_stellate_2_0_5000_5,5
55,path,human_pancreas_norm_complexBatch,activated_stellate,2,0,5000,scgen,nmi,0.0,immuneactivated_stellate_2_0_5000_5,5
56,path,human_pancreas_norm_complexBatch,activated_stellate,2,0,5000,scgen,ari,0.0,immuneactivated_stellate_2_0_5000_5,5
57,path,human_pancreas_norm_complexBatch,activated_stellate,2,0,5000,scgen,pcr,0.0,immuneactivated_stellate_2_0_5000_50,50
58,path,human_pancreas_norm_complexBatch,activated_stellate,2,0,5000,scgen,nmi,0.0,immuneactivated_stellate_2_0_5000_50,50
59,path,human_pancreas_norm_complexBatch,activated_stellate,2,0,5000,scgen,ari,0.0,immuneactivated_stellate_2_0_5000_50,50
60,path,human_pancreas_norm_complexBatch,activated_stellate,2,0,5000,scgen,pcr,0.9819531689824486,immuneactivated_stellate_2_0_5000_100,100
61,path,human_pancreas_norm_complexBatch,activated_stellate,2,0,5000,scgen,nmi,0.0,immuneactivated_stellate_2_0_5000_100,100
62,path,human_pancreas_norm_complexBatch,activated_stellate,2,0,5000,scgen,ari,0.0,immuneactivated_stellate_2_0_5000_100,100
63,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scgen,pcr,0.9145788471259154,immunebeta_2_0_5000_5,5
64,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scgen,nmi,0.0,immunebeta_2_0_5000_5,5
65,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scgen,ari,0.0,immunebeta_2_0_5000_5,5
66,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scgen,pcr,0.0,immunebeta_2_0_5000_50,50
67,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scgen,nmi,0.0,immunebeta_2_0_5000_50,50
68,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scgen,ari,0.0,immunebeta_2_0_5000_50,50
69,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scgen,pcr,0.0,immunebeta_2_0_5000_100,100
70,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scgen,nmi,0.0,immunebeta_2_0_5000_100,100
71,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scgen,ari,0.0,immunebeta_2_0_5000_100,100
72,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scgen,pcr,0.9711709732763506,immuneacinar_0_0_1000_5,5
73,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scgen,nmi,0.0,immuneacinar_0_0_1000_5,5
74,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scgen,ari,0.0,immuneacinar_0_0_1000_5,5
