,ad,dataset,c_type,n_cell,cell_times,seq_depth,method,metric,evaluation,fig_path,hyper_para
0,path,human_pancreas_norm_complexBatch,small_atac_windows,0,0,0,scgen,lisi,,scgen_actc_n_latent_5,5
1,path,human_pancreas_norm_complexBatch,small_atac_windows,0,0,0,scgen,clisi,,scgen_actc_n_latent_5,5
2,path,human_pancreas_norm_complexBatch,small_atac_windows,0,0,0,scgen,sihouette_batch,0.7552134798355442,scgen_actc_n_latent_5,5
3,path,human_pancreas_norm_complexBatch,small_atac_windows,0,0,0,scgen,sihouette,0.6430628895759583,scgen_actc_n_latent_5,5
4,path,human_pancreas_norm_complexBatch,small_atac_windows,0,0,0,scgen,lisi,,scgen_actc_n_latent_50,50
5,path,human_pancreas_norm_complexBatch,small_atac_windows,0,0,0,scgen,clisi,,scgen_actc_n_latent_50,50
6,path,human_pancreas_norm_complexBatch,small_atac_windows,0,0,0,scgen,sihouette_batch,0.7628959659723714,scgen_actc_n_latent_50,50
7,path,human_pancreas_norm_complexBatch,small_atac_windows,0,0,0,scgen,sihouette,0.647158294916153,scgen_actc_n_latent_50,50
8,path,human_pancreas_norm_complexBatch,small_atac_windows,0,0,0,scgen,lisi,,scgen_actc_n_latent_100,100
9,path,human_pancreas_norm_complexBatch,small_atac_windows,0,0,0,scgen,clisi,,scgen_actc_n_latent_100,100
10,path,human_pancreas_norm_complexBatch,small_atac_windows,0,0,0,scgen,sihouette_batch,0.7733355133028456,scgen_actc_n_latent_100,100
11,path,human_pancreas_norm_complexBatch,small_atac_windows,0,0,0,scgen,sihouette,0.6319540739059448,scgen_actc_n_latent_100,100
12,path,human_pancreas_norm_complexBatch,small_atac_gene_activity,0,0,0,scgen,lisi,,scgen_actc_n_latent_5,5
13,path,human_pancreas_norm_complexBatch,small_atac_gene_activity,0,0,0,scgen,clisi,,scgen_actc_n_latent_5,5
14,path,human_pancreas_norm_complexBatch,small_atac_gene_activity,0,0,0,scgen,sihouette_batch,0.7687099810154074,scgen_actc_n_latent_5,5
15,path,human_pancreas_norm_complexBatch,small_atac_gene_activity,0,0,0,scgen,sihouette,0.5781745240092278,scgen_actc_n_latent_5,5
16,path,human_pancreas_norm_complexBatch,small_atac_gene_activity,0,0,0,scgen,lisi,,scgen_actc_n_latent_50,50
17,path,human_pancreas_norm_complexBatch,small_atac_gene_activity,0,0,0,scgen,clisi,,scgen_actc_n_latent_50,50
18,path,human_pancreas_norm_complexBatch,small_atac_gene_activity,0,0,0,scgen,sihouette_batch,0.8853892929547437,scgen_actc_n_latent_50,50
19,path,human_pancreas_norm_complexBatch,small_atac_gene_activity,0,0,0,scgen,sihouette,0.5388155914843082,scgen_actc_n_latent_50,50
20,path,human_pancreas_norm_complexBatch,small_atac_gene_activity,0,0,0,scgen,lisi,,scgen_actc_n_latent_100,100
21,path,human_pancreas_norm_complexBatch,small_atac_gene_activity,0,0,0,scgen,clisi,,scgen_actc_n_latent_100,100
22,path,human_pancreas_norm_complexBatch,small_atac_gene_activity,0,0,0,scgen,sihouette_batch,0.8758568988471365,scgen_actc_n_latent_100,100
23,path,human_pancreas_norm_complexBatch,small_atac_gene_activity,0,0,0,scgen,sihouette,0.5434974171221256,scgen_actc_n_latent_100,100
24,path,human_pancreas_norm_complexBatch,small_atac_peaks,0,0,0,scgen,lisi,,scgen_actc_n_latent_5,5
25,path,human_pancreas_norm_complexBatch,small_atac_peaks,0,0,0,scgen,clisi,,scgen_actc_n_latent_5,5
26,path,human_pancreas_norm_complexBatch,small_atac_peaks,0,0,0,scgen,sihouette_batch,0.7350498170072881,scgen_actc_n_latent_5,5
27,path,human_pancreas_norm_complexBatch,small_atac_peaks,0,0,0,scgen,sihouette,0.6966125071048737,scgen_actc_n_latent_5,5
28,path,human_pancreas_norm_complexBatch,small_atac_peaks,0,0,0,scgen,lisi,,scgen_actc_n_latent_50,50
29,path,human_pancreas_norm_complexBatch,small_atac_peaks,0,0,0,scgen,clisi,,scgen_actc_n_latent_50,50
30,path,human_pancreas_norm_complexBatch,small_atac_peaks,0,0,0,scgen,sihouette_batch,0.750626474813342,scgen_actc_n_latent_50,50
31,path,human_pancreas_norm_complexBatch,small_atac_peaks,0,0,0,scgen,sihouette,0.6754553616046906,scgen_actc_n_latent_50,50
32,path,human_pancreas_norm_complexBatch,small_atac_peaks,0,0,0,scgen,lisi,,scgen_actc_n_latent_100,100
33,path,human_pancreas_norm_complexBatch,small_atac_peaks,0,0,0,scgen,clisi,,scgen_actc_n_latent_100,100
34,path,human_pancreas_norm_complexBatch,small_atac_peaks,0,0,0,scgen,sihouette_batch,0.75768264919683,scgen_actc_n_latent_100,100
35,path,human_pancreas_norm_complexBatch,small_atac_peaks,0,0,0,scgen,sihouette,0.5992393642663956,scgen_actc_n_latent_100,100
