,ad,dataset,c_type,n_cell,cell_times,seq_depth,method,metric,evaluation,fig_path,hyper_para
0,path,human_pancreas_norm_complexBatch,small_atac_windows,0,0,0,scgen,pcr,0.0,atacsmall_atac_windows_0_0_0_5,5
1,path,human_pancreas_norm_complexBatch,small_atac_windows,0,0,0,scgen,nmi,0.13328806340050742,atacsmall_atac_windows_0_0_0_5,5
2,path,human_pancreas_norm_complexBatch,small_atac_windows,0,0,0,scgen,ari,0.09766197253849122,atacsmall_atac_windows_0_0_0_5,5
3,path,human_pancreas_norm_complexBatch,small_atac_windows,0,0,0,scgen,pcr,0.0,atacsmall_atac_windows_0_0_0_50,50
4,path,human_pancreas_norm_complexBatch,small_atac_windows,0,0,0,scgen,nmi,0.13328806340050742,atacsmall_atac_windows_0_0_0_50,50
5,path,human_pancreas_norm_complexBatch,small_atac_windows,0,0,0,scgen,ari,0.09766197253849122,atacsmall_atac_windows_0_0_0_50,50
6,path,human_pancreas_norm_complexBatch,small_atac_windows,0,0,0,scgen,pcr,0.0,atacsmall_atac_windows_0_0_0_100,100
7,path,human_pancreas_norm_complexBatch,small_atac_windows,0,0,0,scgen,nmi,0.13328806340050742,atacsmall_atac_windows_0_0_0_100,100
8,path,human_pancreas_norm_complexBatch,small_atac_windows,0,0,0,scgen,ari,0.09766197253849122,atacsmall_atac_windows_0_0_0_100,100
9,path,human_pancreas_norm_complexBatch,small_atac_gene_activity,0,0,0,scgen,pcr,0.0,atacsmall_atac_gene_activity_0_0_0_50,50
10,path,human_pancreas_norm_complexBatch,small_atac_gene_activity,0,0,0,scgen,nmi,0.1381166197451609,atacsmall_atac_gene_activity_0_0_0_50,50
11,path,human_pancreas_norm_complexBatch,small_atac_gene_activity,0,0,0,scgen,ari,0.10226819700637707,atacsmall_atac_gene_activity_0_0_0_50,50
12,path,human_pancreas_norm_complexBatch,small_atac_gene_activity,0,0,0,scgen,pcr,0.0,atacsmall_atac_gene_activity_0_0_0_100,100
13,path,human_pancreas_norm_complexBatch,small_atac_gene_activity,0,0,0,scgen,nmi,0.1381166197451609,atacsmall_atac_gene_activity_0_0_0_100,100
14,path,human_pancreas_norm_complexBatch,small_atac_gene_activity,0,0,0,scgen,ari,0.10226819700637707,atacsmall_atac_gene_activity_0_0_0_100,100
15,path,human_pancreas_norm_complexBatch,small_atac_peaks,0,0,0,scgen,pcr,0.0,atacsmall_atac_peaks_0_0_0_50,50
16,path,human_pancreas_norm_complexBatch,small_atac_peaks,0,0,0,scgen,nmi,0.14237151018744615,atacsmall_atac_peaks_0_0_0_50,50
17,path,human_pancreas_norm_complexBatch,small_atac_peaks,0,0,0,scgen,ari,0.10667523797707813,atacsmall_atac_peaks_0_0_0_50,50
18,path,human_pancreas_norm_complexBatch,small_atac_peaks,0,0,0,scgen,pcr,0.0,atacsmall_atac_peaks_0_0_0_100,100
19,path,human_pancreas_norm_complexBatch,small_atac_peaks,0,0,0,scgen,nmi,0.14237151018744615,atacsmall_atac_peaks_0_0_0_100,100
20,path,human_pancreas_norm_complexBatch,small_atac_peaks,0,0,0,scgen,ari,0.10667523797707813,atacsmall_atac_peaks_0_0_0_100,100
