,ad,dataset,c_type,n_cell,cell_times,seq_depth,method,metric,evaluation,fig_path,hyper_para
0,path,human_pancreas_norm_complexBatch,all,0,0,0,scvi,lisi,,scvi_immune_n_latent_5,5
1,path,human_pancreas_norm_complexBatch,all,0,0,0,scvi,clisi,,scvi_immune_n_latent_5,5
2,path,human_pancreas_norm_complexBatch,all,0,0,0,scvi,sihouette_batch,0.8031242579516871,scvi_immune_n_latent_5,5
3,path,human_pancreas_norm_complexBatch,all,0,0,0,scvi,sihouette,0.6322852224111557,scvi_immune_n_latent_5,5
4,path,human_pancreas_norm_complexBatch,all,0,0,0,scanvi,lisi,,scanvi_immune_n_latent_5,5
5,path,human_pancreas_norm_complexBatch,all,0,0,0,scanvi,clisi,,scanvi_immune_n_latent_5,5
6,path,human_pancreas_norm_complexBatch,all,0,0,0,scanvi,sihouette_batch,0.797960414880082,scanvi_immune_n_latent_5,5
7,path,human_pancreas_norm_complexBatch,all,0,0,0,scanvi,sihouette,0.6711626946926117,scanvi_immune_n_latent_5,5
8,path,human_pancreas_norm_complexBatch,all,0,0,0,scvi,lisi,,scvi_immune_n_latent_50,50
9,path,human_pancreas_norm_complexBatch,all,0,0,0,scvi,clisi,,scvi_immune_n_latent_50,50
10,path,human_pancreas_norm_complexBatch,all,0,0,0,scvi,sihouette_batch,0.8607376770180162,scvi_immune_n_latent_50,50
11,path,human_pancreas_norm_complexBatch,all,0,0,0,scvi,sihouette,0.6065533459186554,scvi_immune_n_latent_50,50
12,path,human_pancreas_norm_complexBatch,all,0,0,0,scanvi,lisi,,scanvi_immune_n_latent_50,50
13,path,human_pancreas_norm_complexBatch,all,0,0,0,scanvi,clisi,,scanvi_immune_n_latent_50,50
14,path,human_pancreas_norm_complexBatch,all,0,0,0,scanvi,sihouette_batch,0.8493742617594445,scanvi_immune_n_latent_50,50
15,path,human_pancreas_norm_complexBatch,all,0,0,0,scanvi,sihouette,0.687912181019783,scanvi_immune_n_latent_50,50
16,path,human_pancreas_norm_complexBatch,all,0,0,0,scvi,lisi,,scvi_immune_n_latent_100,100
17,path,human_pancreas_norm_complexBatch,all,0,0,0,scvi,clisi,,scvi_immune_n_latent_100,100
18,path,human_pancreas_norm_complexBatch,all,0,0,0,scvi,sihouette_batch,0.866891610889852,scvi_immune_n_latent_100,100
19,path,human_pancreas_norm_complexBatch,all,0,0,0,scvi,sihouette,0.6157695278525352,scvi_immune_n_latent_100,100
20,path,human_pancreas_norm_complexBatch,all,0,0,0,scanvi,lisi,,scanvi_immune_n_latent_100,100
21,path,human_pancreas_norm_complexBatch,all,0,0,0,scanvi,clisi,,scanvi_immune_n_latent_100,100
22,path,human_pancreas_norm_complexBatch,all,0,0,0,scanvi,sihouette_batch,0.8554407516620414,scanvi_immune_n_latent_100,100
23,path,human_pancreas_norm_complexBatch,all,0,0,0,scanvi,sihouette,0.6941452473402023,scanvi_immune_n_latent_100,100
