,ad,dataset,c_type,n_cell,cell_times,seq_depth,method,metric,evaluation
0,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scanorama,pcr,0
1,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scanorama,nmi,0.0
2,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scanorama,ari,0.0
3,path,human_pancreas_norm_complexBatch,delta,2,0,5000,scanorama,pcr,0.6063831094427263
4,path,human_pancreas_norm_complexBatch,delta,2,0,5000,scanorama,nmi,0.0
5,path,human_pancreas_norm_complexBatch,delta,2,0,5000,scanorama,ari,0.0
6,path,human_pancreas_norm_complexBatch,activated_stellate,5,0,10000,scanorama,pcr,0.28818695925507937
7,path,human_pancreas_norm_complexBatch,activated_stellate,5,0,10000,scanorama,nmi,0.0
8,path,human_pancreas_norm_complexBatch,activated_stellate,5,0,10000,scanorama,ari,0.0
9,path,human_pancreas_norm_complexBatch,activated_stellate,0,0,5000,scanorama,pcr,0.6553467709697578
10,path,human_pancreas_norm_complexBatch,activated_stellate,0,0,5000,scanorama,nmi,0.0
11,path,human_pancreas_norm_complexBatch,activated_stellate,0,0,5000,scanorama,ari,0.0
12,path,human_pancreas_norm_complexBatch,acinar,2,0,1000,scanorama,pcr,0.40449921354617635
13,path,human_pancreas_norm_complexBatch,acinar,2,0,1000,scanorama,nmi,0.0
14,path,human_pancreas_norm_complexBatch,acinar,2,0,1000,scanorama,ari,0.0
15,path,human_pancreas_norm_complexBatch,beta,0,0,5000,scanorama,pcr,0.5618382193018461
16,path,human_pancreas_norm_complexBatch,beta,0,0,5000,scanorama,nmi,0.0
17,path,human_pancreas_norm_complexBatch,beta,0,0,5000,scanorama,ari,0.0
18,path,human_pancreas_norm_complexBatch,activated_stellate,2,0,5000,scanorama,pcr,0.5350689658406406
19,path,human_pancreas_norm_complexBatch,activated_stellate,2,0,5000,scanorama,nmi,0.0
20,path,human_pancreas_norm_complexBatch,activated_stellate,2,0,5000,scanorama,ari,0.0
21,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scanorama,pcr,0.28408613088488416
22,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scanorama,nmi,0.0
23,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scanorama,ari,0.0
24,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scanorama,pcr,0.40449921354617635
25,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scanorama,nmi,0.0
26,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scanorama,ari,0.0
27,path,human_pancreas_norm_complexBatch,acinar,5,0,5000,scanorama,pcr,0
28,path,human_pancreas_norm_complexBatch,acinar,5,0,5000,scanorama,nmi,0.0
29,path,human_pancreas_norm_complexBatch,acinar,5,0,5000,scanorama,ari,0.0
30,path,human_pancreas_norm_complexBatch,alpha,0,0,10000,scanorama,pcr,0.46903503570662225
31,path,human_pancreas_norm_complexBatch,alpha,0,0,10000,scanorama,nmi,0.0
32,path,human_pancreas_norm_complexBatch,alpha,0,0,10000,scanorama,ari,0.0
33,path,human_pancreas_norm_complexBatch,beta,5,0,5000,scanorama,pcr,0.2030033801149286
34,path,human_pancreas_norm_complexBatch,beta,5,0,5000,scanorama,nmi,0.0
35,path,human_pancreas_norm_complexBatch,beta,5,0,5000,scanorama,ari,0.0
36,path,human_pancreas_norm_complexBatch,ductal,2,0,1000,scanorama,pcr,0
37,path,human_pancreas_norm_complexBatch,ductal,2,0,1000,scanorama,nmi,0.0
38,path,human_pancreas_norm_complexBatch,ductal,2,0,1000,scanorama,ari,0.0
39,path,human_pancreas_norm_complexBatch,delta,0,0,10000,scanorama,pcr,0.34376497290643093
40,path,human_pancreas_norm_complexBatch,delta,0,0,10000,scanorama,nmi,0.0
41,path,human_pancreas_norm_complexBatch,delta,0,0,10000,scanorama,ari,0.0
42,path,human_pancreas_norm_complexBatch,alpha,5,0,1000,scanorama,pcr,0
43,path,human_pancreas_norm_complexBatch,alpha,5,0,1000,scanorama,nmi,0.0
44,path,human_pancreas_norm_complexBatch,alpha,5,0,1000,scanorama,ari,0.0
