,ad,dataset,c_type,n_cell,cell_times,seq_depth,method,metric,evaluation
0,path,human_pancreas_norm_complexBatch,activated_stellate,0,0,5000,scgen,pcr,0.8983854305811395
1,path,human_pancreas_norm_complexBatch,activated_stellate,0,0,5000,scgen,nmi,0.0
2,path,human_pancreas_norm_complexBatch,activated_stellate,0,0,5000,scgen,ari,0.0
3,path,human_pancreas_norm_complexBatch,beta,0,0,1000,scgen,pcr,0.8065353429009917
4,path,human_pancreas_norm_complexBatch,beta,0,0,1000,scgen,nmi,0.0
5,path,human_pancreas_norm_complexBatch,beta,0,0,1000,scgen,ari,0.0
6,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scgen,pcr,0.5611027521910537
7,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scgen,nmi,0.0
8,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scgen,ari,0.0
9,path,human_pancreas_norm_complexBatch,alpha,0,0,10000,scgen,pcr,1.0
10,path,human_pancreas_norm_complexBatch,alpha,0,0,10000,scgen,nmi,0.0
11,path,human_pancreas_norm_complexBatch,alpha,0,0,10000,scgen,ari,0.0
12,path,human_pancreas_norm_complexBatch,delta,0,0,10000,scgen,pcr,0.7198443746976585
13,path,human_pancreas_norm_complexBatch,delta,0,0,10000,scgen,nmi,0.0
14,path,human_pancreas_norm_complexBatch,delta,0,0,10000,scgen,ari,0.0
15,path,human_pancreas_norm_complexBatch,ductal,0,0,1000,scgen,pcr,0.0
16,path,human_pancreas_norm_complexBatch,ductal,0,0,1000,scgen,nmi,0.0
17,path,human_pancreas_norm_complexBatch,ductal,0,0,1000,scgen,ari,0.0
18,path,human_pancreas_norm_complexBatch,raw,0,0,0,scgen,pcr,0.0
19,path,human_pancreas_norm_complexBatch,raw,0,0,0,scgen,nmi,0.07837369020085144
20,path,human_pancreas_norm_complexBatch,raw,0,0,0,scgen,pcr,0.028379073573485902
