,ad,dataset,c_type,n_cell,cell_times,seq_depth,method,metric,evaluation,fig_path,hyper_para
0,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scgen,pcr,0.0,immunealpha_2_0_1000_5,5
1,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scgen,nmi,0.0,immunealpha_2_0_1000_5,5
2,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scgen,ari,0.0,immunealpha_2_0_1000_5,5
3,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scgen,pcr,0.9393279605938772,immunealpha_2_0_1000_50,50
4,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scgen,nmi,0.0,immunealpha_2_0_1000_50,50
5,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scgen,ari,0.0,immunealpha_2_0_1000_50,50
6,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scgen,pcr,0.7728769493573303,immunealpha_2_0_1000_5,5
7,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scgen,nmi,0.0,immunealpha_2_0_1000_5,5
8,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scgen,ari,0.0,immunealpha_2_0_1000_5,5
9,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scgen,pcr,0.0,immunealpha_2_0_1000_50,50
10,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scgen,nmi,0.0,immunealpha_2_0_1000_50,50
11,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scgen,ari,0.0,immunealpha_2_0_1000_50,50
12,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scgen,pcr,0.9958881390703614,immunealpha_2_0_1000_100,100
13,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scgen,nmi,0.0,immunealpha_2_0_1000_100,100
14,path,human_pancreas_norm_complexBatch,alpha,2,0,1000,scgen,ari,0.0,immunealpha_2_0_1000_100,100
15,path,human_pancreas_norm_complexBatch,delta,2,0,5000,scgen,pcr,0.6060229660398258,immunedelta_2_0_5000_5,5
16,path,human_pancreas_norm_complexBatch,delta,2,0,5000,scgen,nmi,0.0,immunedelta_2_0_5000_5,5
17,path,human_pancreas_norm_complexBatch,delta,2,0,5000,scgen,ari,0.0,immunedelta_2_0_5000_5,5
